"Q_difficulty","Q_stage","Q_text","Q_A1","Q_A2","Q_A3","Q_A4","Q_answer","Q_image","Q_ID","Q_level"
"2","3","Which set of letters corresponds to these signs: Sign_E, Sign_I?","AF","FB","EI","GE","A3","Sign_E, Sign_I","214","1"
"2","3","Which set of letters corresponds to these signs: Sign_B, Sign_A?","CA","EH","AC","BA","A4","Sign_B, Sign_A","215","1"
"1","3","Which set of letters corresponds to these signs: Sign_H?","F","D","H","E","A3","Sign_H","216","1"
"1","3","Which set of letters corresponds to these signs: Sign_F?","F","G","H","I","A1","Sign_F","217","1"
"2","3","Which set of letters corresponds to these signs: Sign_B, Sign_I?","IG","DC","BI","AD","A3","Sign_B, Sign_I","218","1"
"2","3","Which set of letters corresponds to these signs: Sign_C, Sign_B?","BG","GI","CB","EI","A3","Sign_C, Sign_B","219","1"
"3","3","Which set of letters corresponds to these signs: Sign_I, Sign_A, Sign_B?","IAB","BGC","ICB","CIG","A1","Sign_I, Sign_A, Sign_B","220","1"
"3","3","Which set of letters corresponds to these signs: Sign_B, Sign_F, Sign_H?","BFH","FDG","IFA","HCE","A1","Sign_B, Sign_F, Sign_H","221","1"
"2","3","Which set of letters corresponds to these signs: Sign_G, Sign_I?","DB","GI","AI","AH","A2","Sign_G, Sign_I","222","1"
"1","3","Which set of letters corresponds to these signs: Sign_F?","H","F","G","B","A2","Sign_F","223","1"
"3","3","Which set of letters corresponds to these signs: Sign_C, Sign_A, Sign_D?","FHG","CAD","CHI","IGH","A2","Sign_C, Sign_A, Sign_D","224","1"
"3","3","Which set of letters corresponds to these signs: Sign_H, Sign_I, Sign_B?","FCA","AHC","HIB","HEB","A3","Sign_H, Sign_I, Sign_B","225","1"
"2","3","Which set of letters corresponds to these signs: Sign_A, Sign_B?","FH","HA","AB","CF","A3","Sign_A, Sign_B","226","1"
"3","3","Which set of letters corresponds to these signs: Sign_E, Sign_F, Sign_I?","EFI","DHE","CHG","HAD","A1","Sign_E, Sign_F, Sign_I","227","1"
"3","3","Which set of letters corresponds to these signs: Sign_D, Sign_G, Sign_C?","HBD","DGC","DGE","IDA","A2","Sign_D, Sign_G, Sign_C","228","1"
"3","3","Which set of letters corresponds to these signs: Sign_B, Sign_H, Sign_I?","AHE","HAC","BHI","HEB","A3","Sign_B, Sign_H, Sign_I","229","1"
"3","3","Which set of letters corresponds to these signs: Sign_E, Sign_G, Sign_D?","GIC","FGC","EGD","GBH","A3","Sign_E, Sign_G, Sign_D","230","1"
"2","3","Which set of letters corresponds to these signs: Sign_E, Sign_H?","AI","EH","BH","FB","A2","Sign_E, Sign_H","231","1"
"2","3","Which set of letters corresponds to these signs: Sign_G, Sign_C?","DG","DH","GC","GI","A3","Sign_G, Sign_C","232","1"
"2","3","Which set of letters corresponds to these signs: Sign_B, Sign_G?","BC","DB","EH","BG","A4","Sign_B, Sign_G","233","1"
"1","3","Which set of letters corresponds to these signs: Sign_D?","D","F","I","H","A1","Sign_D","234","1"
"3","3","Which set of letters corresponds to these signs: Sign_E, Sign_I, Sign_F?","IDA","GIB","EIF","CDG","A3","Sign_E, Sign_I, Sign_F","235","1"
"3","3","Which set of letters corresponds to these signs: Sign_E, Sign_I, Sign_A?","GHB","FIB","FDB","EIA","A4","Sign_E, Sign_I, Sign_A","236","1"
"2","3","Which set of letters corresponds to these signs: Sign_E, Sign_C?","EC","IF","AF","GF","A1","Sign_E, Sign_C","237","1"
"3","3","Which set of letters corresponds to these signs: Sign_H, Sign_D, Sign_E?","BCA","EGI","HDE","BEH","A3","Sign_H, Sign_D, Sign_E","238","1"
"1","3","Which set of letters corresponds to these signs: Sign_C?","I","G","B","C","A4","Sign_C","239","1"
"3","3","Which set of letters corresponds to these signs: Sign_I, Sign_H, Sign_G?","IHG","IBG","EBH","HDC","A1","Sign_I, Sign_H, Sign_G","240","1"
"3","4","Which set of letters corresponds to these signs: Sign_B, Sign_E, Sign_F?","GFK","FIA","FBL","BEF","A4","Sign_B, Sign_E, Sign_F","241","1"
"2","4","Which set of letters corresponds to these signs: Sign_L, Sign_I?","LI","HA","DJ","HB","A1","Sign_L, Sign_I","242","1"
"1","4","Which set of letters corresponds to these signs: Sign_I?","G","D","F","I","A4","Sign_I","243","1"
"3","4","Which set of letters corresponds to these signs: Sign_A, Sign_D, Sign_J?","IBJ","FDG","KJC","ADJ","A4","Sign_A, Sign_D, Sign_J","244","1"
"1","4","Which set of letters corresponds to these signs: Sign_D?","F","L","D","I","A3","Sign_D","245","1"
"2","4","Which set of letters corresponds to these signs: Sign_J, Sign_F?","HD","GD","JF","EA","A3","Sign_J, Sign_F","246","1"
"1","4","Which set of letters corresponds to these signs: Sign_G?","G","B","E","I","A1","Sign_G","247","1"
"2","4","Which set of letters corresponds to these signs: Sign_L, Sign_B?","FH","LB","AF","CD","A2","Sign_L, Sign_B","248","1"
"1","4","Which set of letters corresponds to these signs: Sign_J?","I","F","B","J","A4","Sign_J","249","1"
"3","4","Which set of letters corresponds to these signs: Sign_H, Sign_D, Sign_G?","HDG","KIJ","JKC","GEJ","A1","Sign_H, Sign_D, Sign_G","250","1"
"1","4","Which set of letters corresponds to these signs: Sign_C?","C","J","B","F","A1","Sign_C","251","1"
"3","4","Which set of letters corresponds to these signs: Sign_B, Sign_H, Sign_D?","CBG","BHD","EIK","ACD","A2","Sign_B, Sign_H, Sign_D","252","1"
"2","4","Which set of letters corresponds to these signs: Sign_B, Sign_H?","BH","AJ","IA","DK","A1","Sign_B, Sign_H","253","1"
"2","4","Which set of letters corresponds to these signs: Sign_K, Sign_G?","CE","BK","KG","KJ","A3","Sign_K, Sign_G","254","1"
"3","4","Which set of letters corresponds to these signs: Sign_F, Sign_A, Sign_B?","GBD","HIF","IGK","FAB","A4","Sign_F, Sign_A, Sign_B","255","1"
"1","4","Which set of letters corresponds to these signs: Sign_C?","F","I","A","C","A4","Sign_C","256","1"
"2","4","Which set of letters corresponds to these signs: Sign_G, Sign_J?","AJ","GB","GJ","LH","A3","Sign_G, Sign_J","257","1"
"1","4","Which set of letters corresponds to these signs: Sign_J?","E","C","J","G","A3","Sign_J","258","1"
"2","4","Which set of letters corresponds to these signs: Sign_B, Sign_H?","BH","JD","IC","KH","A1","Sign_B, Sign_H","259","1"
"2","4","Which set of letters corresponds to these signs: Sign_D, Sign_E?","EI","JE","DE","AD","A3","Sign_D, Sign_E","260","1"
"2","4","Which set of letters corresponds to these signs: Sign_G, Sign_E?","KG","GE","HL","FE","A2","Sign_G, Sign_E","261","1"
"2","4","Which set of letters corresponds to these signs: Sign_G, Sign_C?","CL","LF","AF","GC","A4","Sign_G, Sign_C","262","1"
"1","4","Which set of letters corresponds to these signs: Sign_B?","B","I","D","H","A1","Sign_B","263","1"
"3","4","Which set of letters corresponds to these signs: Sign_G, Sign_K, Sign_H?","GKH","KCD","CAL","EDG","A1","Sign_G, Sign_K, Sign_H","264","1"
"2","4","Which set of letters corresponds to these signs: Sign_D, Sign_I?","DI","EC","BH","BI","A1","Sign_D, Sign_I","265","1"
"2","4","Which set of letters corresponds to these signs: Sign_H, Sign_J?","IJ","HJ","KC","FD","A2","Sign_H, Sign_J","266","1"
"2","4","Which set of letters corresponds to these signs: Sign_E, Sign_G?","CJ","EG","IA","BK","A2","Sign_E, Sign_G","267","1"
"2","4","Which set of letters corresponds to these signs: Sign_E, Sign_K?","LG","EK","EG","EB","A2","Sign_E, Sign_K","268","1"
"2","4","Which set of letters corresponds to these signs: Sign_H, Sign_I?","HI","IF","IK","DH","A1","Sign_H, Sign_I","269","1"
"2","4","Which set of letters corresponds to these signs: Sign_I, Sign_B?","EB","HA","IB","GH","A3","Sign_I, Sign_B","270","1"
"2","4","Which set of letters corresponds to these signs: Sign_F, Sign_E?","CH","EF","AL","FE","A4","Sign_F, Sign_E","271","1"
"2","4","Which set of letters corresponds to these signs: Sign_H, Sign_A?","GK","EL","CI","HA","A4","Sign_H, Sign_A","272","1"
"1","4","Which set of letters corresponds to these signs: Sign_J?","L","B","J","E","A3","Sign_J","273","1"
"2","4","Which set of letters corresponds to these signs: Sign_L, Sign_F?","EG","HJ","CL","LF","A4","Sign_L, Sign_F","274","1"
"2","4","Which set of letters corresponds to these signs: Sign_I, Sign_A?","LJ","IA","DA","BD","A2","Sign_I, Sign_A","275","1"
"2","4","Which set of letters corresponds to these signs: Sign_K, Sign_L?","HG","CD","KL","EB","A3","Sign_K, Sign_L","276","1"
"1","4","Which set of letters corresponds to these signs: Sign_D?","E","D","A","J","A2","Sign_D","277","1"
"1","4","Which set of letters corresponds to these signs: Sign_E?","I","C","E","J","A3","Sign_E","278","1"
"1","4","Which set of letters corresponds to these signs: Sign_C?","K","G","H","C","A4","Sign_C","279","1"
"1","4","Which set of letters corresponds to these signs: Sign_G?","H","B","G","F","A3","Sign_G","280","1"
"1","4","Which set of letters corresponds to these signs: Sign_H?","K","E","B","H","A4","Sign_H","281","1"
"3","4","Which set of letters corresponds to these signs: Sign_J, Sign_H, Sign_E?","CDF","HBG","EGD","JHE","A4","Sign_J, Sign_H, Sign_E","282","1"
"2","4","Which set of letters corresponds to these signs: Sign_D, Sign_H?","HE","DH","DG","EG","A2","Sign_D, Sign_H","283","1"
"1","4","Which set of letters corresponds to these signs: Sign_D?","L","A","D","K","A3","Sign_D","284","1"
"1","4","Which set of letters corresponds to these signs: Sign_I?","B","C","F","I","A4","Sign_I","285","1"
"3","4","Which set of letters corresponds to these signs: Sign_K, Sign_C, Sign_B?","BFA","GHK","KCB","BCE","A3","Sign_K, Sign_C, Sign_B","286","1"
"2","4","Which set of letters corresponds to these signs: Sign_H, Sign_G?","AJ","HG","KJ","IB","A2","Sign_H, Sign_G","287","1"
"3","4","Which set of letters corresponds to these signs: Sign_F, Sign_B, Sign_H?","HDG","JBD","FBH","KAI","A3","Sign_F, Sign_B, Sign_H","288","1"
"2","4","Which set of letters corresponds to these signs: Sign_I, Sign_E?","GC","LB","GK","IE","A4","Sign_I, Sign_E","289","1"
"3","4","Which set of letters corresponds to these signs: Sign_C, Sign_G, Sign_L?","AJD","JFI","BFC","CGL","A4","Sign_C, Sign_G, Sign_L","290","1"
"2","4","Which set of letters corresponds to these signs: Sign_G, Sign_H?","KL","GH","KG","FK","A2","Sign_G, Sign_H","291","1"
"3","4","Which set of letters corresponds to these signs: Sign_D, Sign_H, Sign_C?","IGA","GIH","ELI","DHC","A4","Sign_D, Sign_H, Sign_C","292","1"
"2","4","Which set of letters corresponds to these signs: Sign_C, Sign_K?","HI","DA","CK","JI","A3","Sign_C, Sign_K","293","1"
"2","4","Which set of letters corresponds to these signs: Sign_B, Sign_F?","GK","JF","BF","KJ","A3","Sign_B, Sign_F","294","1"
"3","4","Which set of letters corresponds to these signs: Sign_K, Sign_L, Sign_J?","KLJ","KBJ","BJK","DJE","A1","Sign_K, Sign_L, Sign_J","295","1"
"1","4","Which set of letters corresponds to these signs: Sign_J?","H","E","D","J","A4","Sign_J","296","1"
"2","4","Which set of letters corresponds to these signs: Sign_I, Sign_K?","IK","CK","JL","BF","A1","Sign_I, Sign_K","297","1"
"1","4","Which set of letters corresponds to these signs: Sign_A?","G","I","A","H","A3","Sign_A","298","1"
"3","4","Which set of letters corresponds to these signs: Sign_D, Sign_I, Sign_E?","DIE","BJK","AJB","ICA","A1","Sign_D, Sign_I, Sign_E","299","1"
"3","4","Which set of letters corresponds to these signs: Sign_D, Sign_F, Sign_G?","HEG","DFG","BFJ","GIK","A2","Sign_D, Sign_F, Sign_G","300","1"
"3","4","Which set of letters corresponds to these signs: Sign_L, Sign_B, Sign_H?","AHK","LGD","DJH","LBH","A4","Sign_L, Sign_B, Sign_H","301","1"
"1","4","Which set of letters corresponds to these signs: Sign_A?","J","L","A","E","A3","Sign_A","302","1"
"2","4","Which set of letters corresponds to these signs: Sign_I, Sign_E?","IA","IE","LB","FD","A2","Sign_I, Sign_E","303","1"
"1","4","Which set of letters corresponds to these signs: Sign_E?","E","I","F","H","A1","Sign_E","304","1"
"3","4","Which set of letters corresponds to these signs: Sign_D, Sign_B, Sign_G?","EGI","JCI","CLD","DBG","A4","Sign_D, Sign_B, Sign_G","305","1"
"2","4","Which set of letters corresponds to these signs: Sign_A, Sign_K?","GD","KH","AK","GB","A3","Sign_A, Sign_K","306","1"
"2","4","Which set of letters corresponds to these signs: Sign_G, Sign_L?","EB","GL","GD","CH","A2","Sign_G, Sign_L","307","1"
"2","4","Which set of letters corresponds to these signs: Sign_K, Sign_L?","GD","LH","JC","KL","A4","Sign_K, Sign_L","308","1"
"3","4","Which set of letters corresponds to these signs: Sign_D, Sign_G, Sign_E?","GHL","IFA","DGE","DFH","A3","Sign_D, Sign_G, Sign_E","309","1"
"3","4","Which set of letters corresponds to these signs: Sign_H, Sign_F, Sign_C?","FLC","GAL","HFC","BEH","A3","Sign_H, Sign_F, Sign_C","310","1"
"3","4","Which set of letters corresponds to these signs: Sign_H, Sign_D, Sign_F?","HDF","IHD","HAE","BJI","A1","Sign_H, Sign_D, Sign_F","311","1"
"2","4","Which set of letters corresponds to these signs: Sign_D, Sign_G?","DG","AB","LH","GB","A1","Sign_D, Sign_G","312","1"
"1","4","Which set of letters corresponds to these signs: Sign_B?","B","K","J","L","A1","Sign_B","313","1"
"3","4","Which set of letters corresponds to these signs: Sign_D, Sign_I, Sign_G?","EID","GDB","BFD","DIG","A4","Sign_D, Sign_I, Sign_G","314","1"
"3","4","Which set of letters corresponds to these signs: Sign_B, Sign_A, Sign_F?","HLB","GBL","BAF","BHC","A3","Sign_B, Sign_A, Sign_F","315","1"
"2","4","Which set of letters corresponds to these signs: Sign_B, Sign_K?","GK","BF","BK","IF","A3","Sign_B, Sign_K","316","1"
"3","4","Which set of letters corresponds to these signs: Sign_B, Sign_J, Sign_F?","AFJ","JGK","CLA","BJF","A4","Sign_B, Sign_J, Sign_F","317","1"
"2","4","Which set of letters corresponds to these signs: Sign_G, Sign_D?","IK","KD","GD","HB","A3","Sign_G, Sign_D","318","1"
"3","4","Which set of letters corresponds to these signs: Sign_J, Sign_D, Sign_K?","FEH","FGB","JDK","KFE","A3","Sign_J, Sign_D, Sign_K","319","1"
"3","4","Which set of letters corresponds to these signs: Sign_D, Sign_J, Sign_E?","ABE","EKC","DJE","KCI","A3","Sign_D, Sign_J, Sign_E","320","1"
"3","5","Which set of letters corresponds to these signs: Sign_G, Sign_O, Sign_B?","GOB","DOK","EJC","MCJ","A1","Sign_G, Sign_O, Sign_B","321","1"
"2","5","Which set of letters corresponds to these signs: Sign_D, Sign_A?","IL","MB","DA","KE","A3","Sign_D, Sign_A","322","1"
"3","5","Which set of letters corresponds to these signs: Sign_D, Sign_E, Sign_L?","DEL","JCE","ILG","CEI","A1","Sign_D, Sign_E, Sign_L","323","1"
"1","5","Which set of letters corresponds to these signs: Sign_B?","B","A","L","N","A1","Sign_B","324","1"
"2","5","Which set of letters corresponds to these signs: Sign_F, Sign_B?","FB","HA","BK","JB","A1","Sign_F, Sign_B","325","1"
"2","5","Which set of letters corresponds to these signs: Sign_B, Sign_H?","BH","AO","GN","JM","A1","Sign_B, Sign_H","326","1"
"1","5","Which set of letters corresponds to these signs: Sign_J?","J","A","H","C","A1","Sign_J","327","1"
"3","5","Which set of letters corresponds to these signs: Sign_F, Sign_D, Sign_O?","DBC","FDO","MGO","BNK","A2","Sign_F, Sign_D, Sign_O","328","1"
"1","5","Which set of letters corresponds to these signs: Sign_J?","O","J","F","A","A2","Sign_J","329","1"
"2","5","Which set of letters corresponds to these signs: Sign_O, Sign_B?","IE","OB","HI","AM","A2","Sign_O, Sign_B","330","1"
"1","5","Which set of letters corresponds to these signs: Sign_N?","I","N","F","O","A2","Sign_N","331","1"
"3","5","Which set of letters corresponds to these signs: Sign_B, Sign_K, Sign_I?","HNO","OMJ","BKI","IAG","A3","Sign_B, Sign_K, Sign_I","332","1"
"2","5","Which set of letters corresponds to these signs: Sign_C, Sign_G?","ML","CG","AE","KF","A2","Sign_C, Sign_G","333","1"
"3","5","Which set of letters corresponds to these signs: Sign_K, Sign_G, Sign_N?","BGE","AHF","KGN","GAL","A3","Sign_K, Sign_G, Sign_N","334","1"
"1","5","Which set of letters corresponds to these signs: Sign_M?","G","M","I","L","A2","Sign_M","335","1"
"1","5","Which set of letters corresponds to these signs: Sign_F?","H","F","L","A","A2","Sign_F","336","1"
"2","5","Which set of letters corresponds to these signs: Sign_J, Sign_L?","JL","CN","OC","JB","A1","Sign_J, Sign_L","337","1"
"1","5","Which set of letters corresponds to these signs: Sign_F?","C","F","M","L","A2","Sign_F","338","1"
"1","5","Which set of letters corresponds to these signs: Sign_O?","O","C","H","G","A1","Sign_O","339","1"
"2","5","Which set of letters corresponds to these signs: Sign_F, Sign_H?","EA","GA","EM","FH","A4","Sign_F, Sign_H","340","1"
"1","5","Which set of letters corresponds to these signs: Sign_D?","I","K","D","B","A3","Sign_D","341","1"
"2","5","Which set of letters corresponds to these signs: Sign_K, Sign_F?","HJ","HC","KF","GF","A3","Sign_K, Sign_F","342","1"
"1","5","Which set of letters corresponds to these signs: Sign_L?","E","N","F","L","A4","Sign_L","343","1"
"2","5","Which set of letters corresponds to these signs: Sign_B, Sign_G?","BG","JH","DA","FI","A1","Sign_B, Sign_G","344","1"
"3","5","Which set of letters corresponds to these signs: Sign_F, Sign_K, Sign_G?","LMC","FKG","MJN","GKM","A2","Sign_F, Sign_K, Sign_G","345","1"
"1","5","Which set of letters corresponds to these signs: Sign_K?","K","O","N","C","A1","Sign_K","346","1"
"2","5","Which set of letters corresponds to these signs: Sign_O, Sign_F?","ME","HM","DH","OF","A4","Sign_O, Sign_F","347","1"
"3","5","Which set of letters corresponds to these signs: Sign_K, Sign_G, Sign_D?","KGD","MDI","CJI","DLI","A1","Sign_K, Sign_G, Sign_D","348","1"
"2","5","Which set of letters corresponds to these signs: Sign_A, Sign_G?","OD","AG","BJ","KH","A2","Sign_A, Sign_G","349","1"
"3","5","Which set of letters corresponds to these signs: Sign_K, Sign_I, Sign_G?","CKO","KIG","KCF","ENG","A2","Sign_K, Sign_I, Sign_G","350","1"
"3","5","Which set of letters corresponds to these signs: Sign_L, Sign_N, Sign_I?","LDH","DNI","LNI","AOE","A3","Sign_L, Sign_N, Sign_I","351","1"
"2","5","Which set of letters corresponds to these signs: Sign_F, Sign_H?","GD","FH","CO","FJ","A2","Sign_F, Sign_H","352","1"
"3","5","Which set of letters corresponds to these signs: Sign_I, Sign_D, Sign_G?","KJG","LGI","IDG","IMF","A3","Sign_I, Sign_D, Sign_G","353","1"
"1","5","Which set of letters corresponds to these signs: Sign_H?","N","H","C","O","A2","Sign_H","354","1"
"1","5","Which set of letters corresponds to these signs: Sign_A?","L","O","A","N","A3","Sign_A","355","1"
"1","5","Which set of letters corresponds to these signs: Sign_B?","D","K","C","B","A4","Sign_B","356","1"
"3","5","Which set of letters corresponds to these signs: Sign_K, Sign_M, Sign_J?","FIK","KMJ","LCF","GCH","A2","Sign_K, Sign_M, Sign_J","357","1"
"3","5","Which set of letters corresponds to these signs: Sign_I, Sign_O, Sign_L?","IJN","IOL","IBM","MCL","A2","Sign_I, Sign_O, Sign_L","358","1"
"3","5","Which set of letters corresponds to these signs: Sign_C, Sign_E, Sign_N?","DGB","IHC","CEN","KOF","A3","Sign_C, Sign_E, Sign_N","359","1"
"3","5","Which set of letters corresponds to these signs: Sign_L, Sign_E, Sign_N?","GBK","ODJ","LEN","EOD","A3","Sign_L, Sign_E, Sign_N","360","1"
"1","5","Which set of letters corresponds to these signs: Sign_M?","M","A","G","E","A1","Sign_M","361","1"
"3","5","Which set of letters corresponds to these signs: Sign_B, Sign_F, Sign_N?","ICJ","JIM","JEI","BFN","A4","Sign_B, Sign_F, Sign_N","362","1"
"3","5","Which set of letters corresponds to these signs: Sign_F, Sign_E, Sign_H?","FEH","NAJ","JFN","MEI","A1","Sign_F, Sign_E, Sign_H","363","1"
"2","5","Which set of letters corresponds to these signs: Sign_A, Sign_G?","AG","NK","MI","FD","A1","Sign_A, Sign_G","364","1"
"2","5","Which set of letters corresponds to these signs: Sign_I, Sign_O?","HC","OF","IO","LO","A3","Sign_I, Sign_O","365","1"
"2","5","Which set of letters corresponds to these signs: Sign_I, Sign_C?","OG","IC","JL","IH","A2","Sign_I, Sign_C","366","1"
"1","5","Which set of letters corresponds to these signs: Sign_B?","K","O","B","D","A3","Sign_B","367","1"
"3","5","Which set of letters corresponds to these signs: Sign_F, Sign_L, Sign_G?","CNM","HCO","FLG","JFE","A3","Sign_F, Sign_L, Sign_G","368","1"
"3","5","Which set of letters corresponds to these signs: Sign_F, Sign_N, Sign_B?","ALI","HGB","FNB","IAB","A3","Sign_F, Sign_N, Sign_B","369","1"
"3","5","Which set of letters corresponds to these signs: Sign_F, Sign_H, Sign_C?","FLB","DMH","IOE","FHC","A4","Sign_F, Sign_H, Sign_C","370","1"
"1","5","Which set of letters corresponds to these signs: Sign_J?","J","G","N","K","A1","Sign_J","371","1"
"2","5","Which set of letters corresponds to these signs: Sign_F, Sign_N?","CI","FN","FG","JF","A2","Sign_F, Sign_N","372","1"
"2","5","Which set of letters corresponds to these signs: Sign_G, Sign_K?","FJ","GK","FK","HF","A2","Sign_G, Sign_K","373","1"
"1","5","Which set of letters corresponds to these signs: Sign_L?","L","C","G","N","A1","Sign_L","374","1"
"1","5","Which set of letters corresponds to these signs: Sign_F?","A","F","B","M","A2","Sign_F","375","1"
"1","5","Which set of letters corresponds to these signs: Sign_J?","K","N","I","J","A4","Sign_J","376","1"
"1","5","Which set of letters corresponds to these signs: Sign_I?","H","A","I","B","A3","Sign_I","377","1"
"2","5","Which set of letters corresponds to these signs: Sign_J, Sign_H?","JH","MA","OH","DB","A1","Sign_J, Sign_H","378","1"
"1","5","Which set of letters corresponds to these signs: Sign_J?","M","G","I","J","A4","Sign_J","379","1"
"1","5","Which set of letters corresponds to these signs: Sign_J?","E","J","D","O","A2","Sign_J","380","1"
"1","5","Which set of letters corresponds to these signs: Sign_H?","F","C","M","H","A4","Sign_H","381","1"
"1","5","Which set of letters corresponds to these signs: Sign_H?","J","K","H","M","A3","Sign_H","382","1"
"1","5","Which set of letters corresponds to these signs: Sign_K?","E","K","G","J","A2","Sign_K","383","1"
"3","5","Which set of letters corresponds to these signs: Sign_N, Sign_C, Sign_E?","FJK","OMK","EGB","NCE","A4","Sign_N, Sign_C, Sign_E","384","1"
"1","5","Which set of letters corresponds to these signs: Sign_K?","M","H","L","K","A4","Sign_K","385","1"
"2","5","Which set of letters corresponds to these signs: Sign_G, Sign_H?","GH","DL",,"NM","A1","Sign_G, Sign_H","386","1"
"3","5","Which set of letters corresponds to these signs: Sign_K, Sign_E, Sign_G?","LNK","KEG","EBI","GFK","A2","Sign_K, Sign_E, Sign_G","387","1"
"3","5","Which set of letters corresponds to these signs: Sign_C, Sign_H, Sign_N?","NBA","LMF","CHN","OIK","A3","Sign_C, Sign_H, Sign_N","388","1"
"2","5","Which set of letters corresponds to these signs: Sign_H, Sign_L?","LB","MN","OH","HL","A4","Sign_H, Sign_L","389","1"
"1","5","Which set of letters corresponds to these signs: Sign_I?","N","I","O","H","A2","Sign_I","390","1"
"2","5","Which set of letters corresponds to these signs: Sign_J, Sign_A?","NC","JA","KN","FL","A2","Sign_J, Sign_A","391","1"
"2","5","Which set of letters corresponds to these signs: Sign_F, Sign_M?","IA","EM","GK","FM","A4","Sign_F, Sign_M","392","1"
"3","5","Which set of letters corresponds to these signs: Sign_C, Sign_J, Sign_A?","FKL","BJL","DLB","CJA","A4","Sign_C, Sign_J, Sign_A","393","1"
"1","5","Which set of letters corresponds to these signs: Sign_B?","B","J","A","H","A1","Sign_B","394","1"
"3","5","Which set of letters corresponds to these signs: Sign_F, Sign_D, Sign_M?","EFK","FDM","DIK","MKN","A2","Sign_F, Sign_D, Sign_M","395","1"
"1","5","Which set of letters corresponds to these signs: Sign_M?","M","J","C","E","A1","Sign_M","396","1"
"3","5","Which set of letters corresponds to these signs: Sign_B, Sign_N, Sign_J?","DGN","FKG","HCB","BNJ","A4","Sign_B, Sign_N, Sign_J","397","1"
"2","5","Which set of letters corresponds to these signs: Sign_H, Sign_K?","HK","IC","CG","CF","A1","Sign_H, Sign_K","398","1"
"3","5","Which set of letters corresponds to these signs: Sign_E, Sign_O, Sign_D?","EBF","JNF","HNO","EOD","A4","Sign_E, Sign_O, Sign_D","399","1"
"3","5","Which set of letters corresponds to these signs: Sign_A, Sign_G, Sign_H?","HBC","AGH","MDI","BKC","A2","Sign_A, Sign_G, Sign_H","400","1"
"2","6","Which set of letters corresponds to these signs: Sign_K, Sign_N?","HI","KN","LP","PJ","A2","Sign_K, Sign_N","401","1"
"2","6","Which set of letters corresponds to these signs: Sign_F, Sign_B?","OC","GQ","HR","FB","A4","Sign_F, Sign_B","402","1"
"1","6","Which set of letters corresponds to these signs: Sign_E?","J","C","I","E","A4","Sign_E","403","1"
"2","6","Which set of letters corresponds to these signs: Sign_A, Sign_M?","AM","AO","OP","AH","A1","Sign_A, Sign_M","404","1"
"1","6","Which set of letters corresponds to these signs: Sign_L?","L","R","P","Q","A1","Sign_L","405","1"
"3","6","Which set of letters corresponds to these signs: Sign_G, Sign_M, Sign_B?","GBK","GMB","IAM","FHI","A2","Sign_G, Sign_M, Sign_B","406","1"
"2","6","Which set of letters corresponds to these signs: Sign_Q, Sign_H?","BC","QH","JP","AQ","A2","Sign_Q, Sign_H","407","1"
"1","6","Which set of letters corresponds to these signs: Sign_M?","M","D","K","R","A1","Sign_M","408","1"
"1","6","Which set of letters corresponds to these signs: Sign_E?","E","F","C","L","A1","Sign_E","409","1"
"2","6","Which set of letters corresponds to these signs: Sign_E, Sign_Q?","GB","EL","EQ","HO","A3","Sign_E, Sign_Q","410","1"
"1","6","Which set of letters corresponds to these signs: Sign_B?","E","J","B","N","A3","Sign_B","411","1"
"3","6","Which set of letters corresponds to these signs: Sign_B, Sign_N, Sign_F?","HRL","BNF","NCJ","ELC","A2","Sign_B, Sign_N, Sign_F","412","1"
"2","6","Which set of letters corresponds to these signs: Sign_A, Sign_D?","QC","BQ","RI","AD","A4","Sign_A, Sign_D","413","1"
"2","6","Which set of letters corresponds to these signs: Sign_B, Sign_G?","BG","NM","RI","DG","A1","Sign_B, Sign_G","414","1"
"3","6","Which set of letters corresponds to these signs: Sign_M, Sign_B, Sign_O?","PRM","DPJ","MBO","IMD","A3","Sign_M, Sign_B, Sign_O","415","1"
"2","6","Which set of letters corresponds to these signs: Sign_L, Sign_P?","KL","LP","AR","AQ","A2","Sign_L, Sign_P","416","1"
"1","6","Which set of letters corresponds to these signs: Sign_R?","A","R","K","L","A2","Sign_R","417","1"
"2","6","Which set of letters corresponds to these signs: Sign_G, Sign_C?","HF","DG","GC","KH","A3","Sign_G, Sign_C","418","1"
"3","6","Which set of letters corresponds to these signs: Sign_Q, Sign_E, Sign_R?","QER","NFD","ALE","CQG","A1","Sign_Q, Sign_E, Sign_R","419","1"
"2","6","Which set of letters corresponds to these signs: Sign_F, Sign_G?","HO","DP","FG","KR","A3","Sign_F, Sign_G","420","1"
"1","6","Which set of letters corresponds to these signs: Sign_Q?","H","A","L","Q","A4","Sign_Q","421","1"
"1","6","Which set of letters corresponds to these signs: Sign_M?","M","Q","K","F","A1","Sign_M","422","1"
"3","6","Which set of letters corresponds to these signs: Sign_M, Sign_Q, Sign_J?","LDO","MQJ","ERH","EPB","A2","Sign_M, Sign_Q, Sign_J","423","1"
"1","6","Which set of letters corresponds to these signs: Sign_R?","R","E","O","H","A1","Sign_R","424","1"
"1","6","Which set of letters corresponds to these signs: Sign_F?","O","F","A","G","A2","Sign_F","425","1"
